NtsbNo,CompletionStatus,EventType,Mkey,IsStudy,EventDate,City,State,Country,ReportNo,N#,VehicleMake,VehicleModel,HighestInjuryLevel,InjuryOngroundCount,InjuryOnboardCount,HasSafetyRec,Mode,ReportNumber,ReportType,DocketPublishDate,OriginalPublishedDate,ReportDate,MostRecentReportType,EV_ID,RepGenFlag
ANC25LA014,Completed,Accident,199498,false,2024-12-31T15:30:00Z,Anchorage,Alaska,United States,,N3552E,Cessna,172N,None,,0,false,Aviation,,DirectorBrief,2025-05-12T18:00:00Z,2025-05-12T04:00:00Z,2025-01-01T07:05:41.577Z,Final,,
WPR25LA076,Completed,Accident,199524,false,2024-12-31T15:15:00Z,Los Alamos,New Mexico,United States,,N71074,Cessna,182M,None,,0,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2025-01-16T01:58:32.754Z,Final,,
CEN25LA067,Completed,Accident,199496,false,2024-12-31T14:20:00Z,Galveston,Texas,United States,,N441HQ,ROBINSON HELICOPTER,R44,None,0,0,false,Aviation,,DirectorBrief,2025-01-30T18:00:00Z,2025-01-30T05:00:00Z,2025-01-01T02:45:40.104Z,Final,,
DCA25FM013,In work,,199499,false,2024-12-30T18:00:00Z,Cleveland,Ohio,United States,,,,,None,,,false,Marine,,DirectorBrief,,,,Prelim,,
ERA25FA086,In work,Accident,199492,false,2024-12-30T17:15:00Z,Peebles,Ohio,United States,,N6979T,Cessna,310,Fatal,0,1,false,Aviation,,DirectorBrief,,,2025-01-03T04:34:53.219Z,Prelim,,
DCA25FM012,In work,,199486,false,2024-12-29T21:39:00Z,Luling,Louisiana,United States,,,,,,,,false,Marine,,DirectorBrief,,,,Prelim,,
DCA25LA091,Completed,Accident,199575,false,2024-12-29T05:00:00Z,Gulf of America,Gulf of America,United States,,N647UA,Boeing,767-322,Serious,,1,false,Aviation,,DirectorBrief,2025-10-14T18:00:00Z,2025-10-14T04:00:00Z,2025-01-22T01:49:19.432Z,Final,,
DCA25WA072,N/A,Accident,199476,false,2024-12-29T05:00:00Z,Muan County,,Republic Of Korea,,HL8088,Boeing,737,Fatal,,175,false,Aviation,,None,,,2025-02-20T21:23:55.437Z,,,
DCA25WA073,N/A,Accident,199477,false,2024-12-28T21:04:00Z,Oslo,,Norway,,PH-BXM,Boeing,737,None,,0,false,Aviation,,DirectorBrief,,,2024-12-31T00:00:03.283Z,,,
CEN25LA066,Completed,Accident,199491,false,2024-12-28T17:00:00Z,Monticello,Iowa,United States,,N478SA,DIAMOND AIRCRAFT IND INC,DA 40 NG,None,0,0,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2024-12-31T23:36:54.136Z,Final,,
